net,length_um
_3365_,151.76µm
net361,151.66µm
net278,150.9µm
net637,150.62µm
_1035_,150.22µm
net173,150.06µm
_3212_,150µm
net491,149.98µm
net295,149.42µm
net283,148.96µm
net294,148.46µm
_0084_,148.28µm
adder_inst.sum_raw_r\[6\],147.42µm
net343,146.42µm
net488,146.32µm
_1081_,145.74µm
adder_inst.sum_raw_r\[10\],145.56µm
net254,145.37µm
net381,145.2µm
net155,144.895µm
net497,144.745µm
net302,144.66µm
_4370_,144.285µm
net506,144.26µm
adder_inst.sum_raw_r\[12\],144.18µm
adder_inst.sum_raw_r\[11\],143.735µm
adder_inst.sum_raw_r\[23\],143.72µm
_0104_,142.99µm
net424,142.94µm
net206,142.92µm
clknet_leaf_27_clk,142.51µm
net317,142.415µm
net375,141.68µm
net455,141.47µm
net161,141.3µm
net427,140.98µm
_1082_,139.6µm
net442,139.52µm
net272,138.96µm
net420,138.89µm
net548,138.22µm
adder_inst.is_nan_r,137.855µm
net683,136.375µm
_3217_,134.94µm
net193,134.56µm
_1153_,134.29µm
net487,134.04µm
net387,133.935µm
net140,133.58µm
_3678_,133.31µm
adder_inst.man_a_r\[17\],133.15µm
adder_inst.sum_raw_r\[13\],132.625µm
net188,132.62µm
clknet_leaf_3_clk,132.14µm
net209,131.64µm
net520,131.54µm
adder_inst.sum_raw_r\[15\],131.4µm
net162,131µm
net156,130.88µm
_4115_,130.515µm
_3237_,130.5µm
adder_inst.sum_raw_r\[5\],130.2µm
clknet_leaf_9_clk,130.16µm
multiplier_inst.is_nan_r,130.14µm
adder_inst.exp_larger\[4\],129.06µm
_0082_,128.82µm
_3435_,128.78µm
clknet_leaf_17_clk,128.18µm
net498,128.1µm
net433,128.095µm
net485,127.955µm
net221,127.62µm
net320,127.48µm
net447,127.37µm
net177,126.965µm
net330,126.56µm
net284,126.36µm
net484,126.25µm
clknet_leaf_0_clk,125.955µm
_0456_,125.56µm
net165,125.12µm
_3197_,124.98µm
net277,124.72µm
adder_inst.sum_raw_r\[4\],123.755µm
adder_inst.exp_larger\[6\],122.125µm
net639,122.04µm
net142,121.75µm
net379,121.72µm
net493,121.545µm
net414,121.48µm
net310,119.74µm
net408,119.72µm
net517,119.255µm
net421,119.21µm
net461,118.955µm
net630,118.84µm
_1113_,118.78µm
net486,118.725µm
_3363_,118.48µm
_1622_,118.38µm
net547,117.66µm
net105,117.48µm
adder_inst.exp_larger\[5\],117.26µm
_3222_,117.11µm
net418,116.945µm
net396,116.88µm
net338,116.6µm
net328,116.555µm
_3362_,116.4µm
_0062_,115.56µm
_1158_,115.21µm
net184,115.06µm
net138,114.75µm
_3170_,113.66µm
net499,113.605µm
net515,113.5µm
net195,112.98µm
net296,112.775µm
net389,112.76µm
_3022_,112.64µm
adder_inst.exp_larger_r\[1\],112.64µm
net314,111.77µm
net334,111.66µm
adder_inst.is_zero_b_r,111.65µm
adder_inst.exp_larger_r\[2\],111.64µm
net170,111.58µm
_1114_,111.47µm
net490,111.46µm
net6,110.275µm
net190,110.21µm
adder_inst.sum_raw_r\[3\],110.02µm
_2570_,109.6µm
net545,109.475µm
net543,109.29µm
net139,109.27µm
net208,109.14µm
net131,108.66µm
net189,108.59µm
net313,108.02µm
net508,107.94µm
adder_inst.exp_larger_r\[3\],107.78µm
net145,107.66µm
net401,106.715µm
_3189_,106.58µm
net535,106.56µm
_3504_,105.48µm
net123,105.4µm
clknet_leaf_14_clk,105.3µm
net525,105.26µm
net159,105.06µm
net179,104.68µm
_3176_,104.54µm
net527,104.5µm
_1080_,104.24µm
net137,103.92µm
clknet_leaf_24_clk,103.78µm
net521,103.56µm
adder_inst.exp_b_r\[1\],103.495µm
net393,103.18µm
_4300_,103.07µm
clknet_leaf_25_clk,102.76µm
net546,102.64µm
net119,102.625µm
clknet_leaf_5_clk,102.54µm
net507,102.44µm
_3462_,102.23µm
_0080_,102.03µm
net257,101.32µm
net510,101.12µm
net148,100.53µm
net350,100.4µm
_3404_,100.26µm
net661,99.95µm
net538,99.89µm
net496,99.37µm
net121,98.86µm
_3187_,98.72µm
adder_inst.sum_raw_r\[1\],98.365µm
net336,98.34µm
net541,98.18µm
net671,97.84µm
_0081_,97.61µm
adder_inst.exp_larger_r\[0\],97.5µm
net528,97.38µm
net524,97.36µm
net174,97.115µm
clknet_leaf_22_clk,96.155µm
net537,95.33µm
net228,95.26µm
net128,95.07µm
net197,94.95µm
adder_inst.sum_raw_r\[0\],94.485µm
_2678_,94.34µm
_3790_,93.86µm
net540,93.52µm
net143,93.5µm
clknet_leaf_19_clk,93.36µm
clknet_leaf_29_clk,93.335µm
net529,93.26µm
net331,93.12µm
net325,92.795µm
net234,92.71µm
net160,92.46µm
_3383_,92.34µm
net127,92.27µm
_3680_,92µm
clknet_leaf_20_clk,91.98µm
net513,91.92µm
net495,91.455µm
_0079_,91.38µm
_3372_,91.24µm
_0035_,91.02µm
net332,90.6µm
net183,90.51µm
_3200_,90.34µm
net115,90.2µm
_0542_,90.06µm
net151,89.93µm
clknet_leaf_15_clk,89.91µm
_3677_,89.9µm
net492,89.825µm
net504,89.66µm
net366,89.6µm
adder_inst.sum_raw_r\[2\],89.535µm
net120,89.34µm
_3699_,89.32µm
net512,89.28µm
net312,89.205µm
_3357_,89.1µm
adder_inst.is_nan_b_r,89.1µm
_4374_,89.01µm
_4452_,88.98µm
net533,88.98µm
adder_inst.exp_b_r\[0\],88.86µm
adder_inst.exp_larger\[1\],88.24µm
net519,88.02µm
adder_inst.exp_larger\[3\],88µm
_3206_,87.88µm
_4509_,87.81µm
_4059_,87.7µm
_3732_,87.52µm
net122,87.52µm
_0064_,87.4µm
_3347_,87.39µm
_1623_,87.18µm
_2247_,87.14µm
net134,87.02µm
_2565_,86.72µm
_1569_,86.18µm
net319,85.975µm
_0036_,85.84µm
_4084_,85.69µm
net124,85.66µm
net531,85.42µm
_1570_,85.36µm
adder_inst.is_inf_b_r,85.1µm
net483,84.82µm
net452,84.69µm
net329,84.57µm
net198,84.36µm
_2783_,84.2µm
net196,83.705µm
clknet_leaf_8_clk,83.435µm
net223,83.395µm
_3368_,83.32µm
net169,82.98µm
_3414_,82.14µm
_3017_,81.98µm
_3366_,80.86µm
net192,80.53µm
adder_inst.man_a_r\[12\],79.98µm
_2643_,79.72µm
_4444_,79.64µm
