Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_757,VPWR,li1,354.6600,388.9600,1.799870
FILLER_138_755,VPWR,li1,353.0500,388.9600,1.799871
FILLER_138_734,VPWR,li1,343.3900,388.9600,1.799881
FILLER_138_712,VPWR,li1,333.5000,388.9600,1.799906
FILLER_138_704,VPWR,li1,331.2000,388.9600,1.799914
FILLER_138_699,VPWR,li1,327.2900,388.9600,1.799914
FILLER_138_693,VPWR,li1,325.6800,388.9600,1.799914
FILLER_138_669,VPWR,li1,313.4900,388.9600,1.799865
FILLER_138_665,VPWR,li1,312.3400,388.9600,1.799865
FILLER_138_641,VPWR,li1,301.0700,388.9600,1.799835
FILLER_138_616,VPWR,li1,289.3400,388.9600,1.799821
FILLER_138_589,VPWR,li1,276.9200,388.9600,1.799811
FILLER_138_587,VPWR,li1,275.7700,388.9600,1.799810
FILLER_138_581,VPWR,li1,274.1600,388.9600,1.799810
FILLER_138_577,VPWR,li1,271.1700,388.9600,1.799807
FILLER_138_573,VPWR,li1,270.0200,388.9600,1.799807
FILLER_138_531,VPWR,li1,250.0100,388.9600,1.799806
FILLER_138_521,VPWR,li1,245.6400,388.9600,1.799808
FILLER_138_480,VPWR,li1,226.5500,388.9600,1.799828
FILLER_138_474,VPWR,li1,224.0200,388.9600,1.799832
FILLER_138_465,VPWR,li1,219.6500,388.9600,1.799838
FILLER_138_443,VPWR,li1,209.7600,388.9600,1.799857
FILLER_138_411,VPWR,li1,194.8100,388.9600,1.799889
FILLER_138_403,VPWR,li1,192.7400,388.9600,1.799895
FILLER_138_382,VPWR,li1,181.4700,388.9600,1.799926
FILLER_138_378,VPWR,li1,180.3200,388.9600,1.799933
FILLER_138_373,VPWR,li1,177.5600,388.9600,1.799940
FILLER_138_365,VPWR,li1,175.2600,388.9600,1.799946
FILLER_138_339,VPWR,li1,161.9200,388.9600,1.799919
FILLER_138_331,VPWR,li1,159.6200,388.9600,1.799915
FILLER_138_309,VPWR,li1,148.1200,388.9600,1.799896
FILLER_138_305,VPWR,li1,146.5100,388.9600,1.799893
FILLER_138_284,VPWR,li1,136.3900,388.9600,1.799885
FILLER_138_278,VPWR,li1,134.7800,388.9600,1.799883
FILLER_138_257,VPWR,li1,123.9700,388.9600,1.799877
FILLER_138_253,VPWR,li1,122.8200,388.9600,1.799877
FILLER_138_251,VPWR,li1,121.2100,388.9600,1.799876
FILLER_138_240,VPWR,li1,117.7600,388.9600,1.799875
FILLER_138_154,VPWR,li1,76.8200,388.9600,1.799899
FILLER_138_141,VPWR,li1,72.2200,388.9600,1.799906
FILLER_138_139,VPWR,li1,69.6900,388.9600,1.799912
FILLER_138_133,VPWR,li1,68.0800,388.9600,1.799912
FILLER_138_121,VPWR,li1,63.9400,388.9600,1.799919
FILLER_138_109,VPWR,li1,58.4200,388.9600,1.799927
FILLER_138_97,VPWR,li1,52.9000,388.9600,1.799936
FILLER_138_85,VPWR,li1,47.3800,388.9600,1.799945
FILLER_138_83,VPWR,li1,43.9300,388.9600,1.799952
FILLER_138_77,VPWR,li1,42.3200,388.9600,1.799952
FILLER_138_65,VPWR,li1,38.1800,388.9600,1.799959
FILLER_138_53,VPWR,li1,32.6600,388.9600,1.799967
FILLER_138_41,VPWR,li1,27.1400,388.9600,1.799976
FILLER_138_29,VPWR,li1,21.6200,388.9600,1.799984
FILLER_138_27,VPWR,li1,18.1700,388.9600,1.799984
FILLER_138_15,VPWR,li1,15.1800,388.9600,1.799984
FILLER_138_3,VPWR,li1,9.6600,388.9600,1.799984
FILLER_137_825,VPWR,li1,385.2500,383.5200,1.799950
FILLER_137_821,VPWR,li1,384.1000,383.5200,1.799950
FILLER_137_809,VPWR,li1,380.4200,383.5200,1.799950
FILLER_137_797,VPWR,li1,374.9000,383.5200,1.799950
FILLER_137_785,VPWR,li1,369.3800,383.5200,1.799950
FILLER_137_776,VPWR,li1,364.3200,383.5200,1.799950
FILLER_137_770,VPWR,li1,360.4100,383.5200,1.799950
FILLER_137_758,VPWR,li1,356.9600,383.5200,1.799950
FILLER_137_749,VPWR,li1,350.2900,383.5200,1.799950
FILLER_137_745,VPWR,li1,348.4500,383.5200,1.799951
FILLER_137_737,VPWR,li1,346.3800,383.5200,1.799951
