net,length_um
clknet_leaf_3_clk,119.92µm
_06204_,119.84µm
net272,119.54µm
net268,119.26µm
clknet_leaf_24_clk,118.94µm
adder_inst.sum_raw_r\[1\],118.2µm
net250,117.595µm
_06012_,117.08µm
_06448_,116.69µm
_06553_,116.145µm
adder_inst.man_a_r\[21\],115.27µm
adder_inst.sum_raw\[19\],114.24µm
adder_inst.sum_raw_r\[12\],114.24µm
adder_inst.man_a_r\[23\],113.82µm
_05720_,113.4µm
_06484_,113.1µm
_04881_,112.71µm
net267,111.91µm
adder_inst.sum_raw_r\[21\],111.63µm
adder_inst.man_b_r\[19\],111.52µm
net286,111.42µm
clknet_leaf_0_clk,111.32µm
net187,110.5µm
_07020_,109.58µm
net303,109.47µm
_06055_,109.2µm
net258,109.09µm
_06444_,108.82µm
_06466_,108.68µm
adder_inst.man_b_r\[20\],107.82µm
_05285_,106.06µm
clknet_leaf_12_clk,105.9µm
clknet_leaf_5_clk,104.63µm
adder_inst.sum_raw_r\[20\],104.62µm
net277,104.02µm
net290,103.6µm
_05730_,103.35µm
_06084_,103.34µm
net264,102.15µm
_05242_,101.6µm
clknet_leaf_7_clk,101.32µm
_06083_,101.01µm
_06008_,100.12µm
_01223_,99.9µm
_06077_,98.875µm
_05716_,98.74µm
_05678_,98.42µm
_05695_,97.68µm
_05727_,96.82µm
net261,96.52µm
_06252_,96.27µm
net298,96.15µm
_05701_,96.02µm
_07119_,95.32µm
_06194_,94.795µm
net190,94.79µm
_05688_,94.62µm
_07018_,94.48µm
adder_inst.sum_raw_r\[19\],93.89µm
_05675_,93.82µm
_05690_,93.72µm
_04262_,93.46µm
_07008_,93.38µm
clknet_leaf_14_clk,93.08µm
adder_inst.man_a_r\[9\],92.72µm
adder_inst.sum_raw_r\[15\],92.69µm
adder_inst.man_b_r\[18\],92.5µm
_04882_,92.36µm
_04225_,92.34µm
_05235_,92.32µm
_06516_,92.26µm
_06076_,92.175µm
_06637_,92.1µm
net282,92µm
clknet_leaf_25_clk,91.84µm
adder_inst.sum_raw_r\[16\],91.37µm
_06195_,91.36µm
_07315_,91.24µm
net227,91.08µm
net259,91.06µm
net284,90.92µm
adder_inst.sum_raw\[0\],90.6µm
_06491_,90.58µm
_04568_,89.62µm
net249,89.55µm
_07000_,88.98µm
_05280_,88.82µm
_02978_,88.46µm
net289,88.46µm
net278,88.02µm
net287,87.54µm
net280,87.4µm
_06277_,87.32µm
_07190_,87.3µm
_06465_,87.15µm
_07301_,86.82µm
adder_inst.sum_raw_r\[0\],86.745µm
_06487_,86.395µm
_07159_,86.29µm
_06183_,85.56µm
_07521_,85.52µm
_00104_,85.36µm
net109,85.1µm
_00080_,84.42µm
_06066_,84.38µm
_06181_,84.34µm
_06447_,84.26µm
_06539_,84.2µm
_06108_,83.78µm
clknet_leaf_17_clk,83.76µm
_06660_,83.62µm
net273,83.58µm
_06617_,83.46µm
_06519_,83.45µm
_03962_,83.37µm
net274,83.22µm
_06190_,83.18µm
_06655_,83.18µm
_05876_,83.16µm
_05057_,83.1µm
_02733_,82.96µm
_06010_,82.84µm
clknet_leaf_8_clk,82.76µm
_07530_,82.66µm
_05978_,82.34µm
_07131_,82.23µm
_06802_,81.58µm
_03585_,81.4µm
net215,81.19µm
_04100_,81.14µm
_06006_,80.56µm
_00081_,80.04µm
net262,79.935µm
_06473_,79.26µm
net265,79.26µm
_07525_,79.165µm
net253,78.79µm
_04726_,78.44µm
adder_inst.i_b\[22\],78.26µm
net105,78.26µm
_05958_,78.18µm
net300,78.18µm
_03207_,77.68µm
net271,77.46µm
_07604_,76.965µm
clknet_leaf_9_clk,76.94µm
net255,76.935µm
adder_inst.exp_larger_r\[0\],76.88µm
net263,76.52µm
_04434_,76.36µm
net147,76.34µm
net269,76.33µm
_06546_,76.32µm
_07620_,76.28µm
_06056_,75.815µm
_01474_,75.52µm
_06585_,75.28µm
_06078_,74.88µm
_00077_,74.8µm
_04098_,74.6µm
_06184_,74.24µm
_04095_,73.96µm
_04380_,73.96µm
_05663_,73.915µm
clknet_leaf_16_clk,73.4µm
_05924_,73.35µm
adder_inst.sum_raw_r\[18\],72.62µm
_05921_,71.94µm
_03851_,71.54µm
_05874_,71.48µm
net193,71.3µm
_06074_,71.28µm
net301,71.18µm
_06246_,71.06µm
adder_inst.sum_raw_r\[13\],71.06µm
_06295_,70.945µm
_06667_,70.44µm
_06196_,70.34µm
adder_inst.sum_raw_r\[24\],70.3µm
adder_inst.sum_raw_r\[14\],70.245µm
_03056_,70.12µm
mul_res\[11\],70.02µm
adder_inst.i_b\[8\],69.54µm
_04432_,69.42µm
_05008_,69.3µm
_00715_,69.24µm
_01556_,69.2µm
_07520_,68.74µm
_04327_,68.66µm
_02730_,68.44µm
net304,68.38µm
_06113_,68.02µm
_01219_,67.96µm
_05158_,67.9µm
net256,67.855µm
adder_inst.sum_raw\[23\],67.62µm
_06454_,67.425µm
_07516_,67.38µm
_04723_,67.36µm
net281,67.24µm
_07058_,67.01µm
adder_inst.exp_larger_r\[1\],67.005µm
net306,66.9µm
multiplier_inst.is_zero_r,66.82µm
adder_inst.sum_raw\[1\],66.72µm
_06446_,66.34µm
_07223_,66.24µm
adder_inst.exp_larger_r\[2\],65.82µm
clknet_leaf_10_clk,65.76µm
_04655_,65.72µm
_04374_,65.38µm
_03261_,64.92µm
adder_inst.i_b\[21\],64.68µm
_00068_,64.54µm
_04108_,64.465µm
net293,64.24µm
_06459_,63.9µm
_04489_,63.84µm
_05061_,63.2µm
_06062_,62.8µm
_06453_,62.72µm
_04490_,62.66µm
net172,62.34µm
_03387_,62.22µm
adder_inst.sum_raw_r\[23\],62.075µm
net296,61.78µm
adder_inst.exp_larger_r\[3\],61.615µm
adder_inst.i_b\[20\],61.58µm
_06445_,61.28µm
_04315_,61.26µm
net373,61.04µm
_04329_,61µm
net144,60.79µm
_01224_,60.6µm
_03334_,60.6µm
_06413_,60.6µm
net275,60.38µm
net270,59.11µm
_00658_,58.6µm
adder_inst.is_nan_r,58.58µm
_01711_,58.54µm
multiplier_inst.is_nan_r,58.52µm
_01416_,58.26µm
adder_inst.i_a\[14\],58.26µm
_03560_,58.12µm
_01417_,57.98µm
_04951_,57.98µm
_01304_,57.92µm
_06434_,57.82µm
_07585_,57.7µm
_07006_,57.53µm
clknet_leaf_4_clk,57.48µm
_06305_,57.28µm
_06602_,57.28µm
_01965_,57.26µm
net30,57.2µm
_04944_,56.84µm
_01187_,56.71µm
_06795_,56.62µm
_03993_,56.56µm
_06274_,56.56µm
_05784_,56.26µm
_06665_,56.26µm
_02737_,56.2µm
_03542_,56.2µm
_01651_,56.16µm
_03873_,56.14µm
adder_inst.i_b\[18\],56µm
_06065_,55.88µm
adder_inst.man_b_r\[10\],55.54µm
_06394_,55.48µm
_06392_,55.4µm
_02680_,55.34µm
_06913_,55.24µm
_06114_,54.86µm
_05236_,54.82µm
net297,54.7µm
clknet_leaf_22_clk,54.6µm
_01530_,54.55µm
adder_inst.sum_raw\[2\],54.06µm
net63,54µm
_01001_,53.8µm
_00535_,53.64µm
_06811_,53.42µm
adder_inst.exp_b_r\[1\],53.38µm
_06390_,53.335µm
mul_res\[12\],53.18µm
_03710_,53.16µm
net292,53.08µm
adder_inst.is_zero_a,52.52µm
adder_inst.i_a\[4\],52.3µm
_04324_,52.24µm
_05322_,52.24µm
_02336_,52.14µm
_03655_,52.09µm
_06632_,51.97µm
_03537_,51.84µm
net103,51.68µm
adder_inst.man_b_r\[22\],51.58µm
net276,51.52µm
_06482_,51.4µm
adder_inst.i_b\[19\],51.4µm
_06611_,51.34µm
_05224_,51.18µm
_06601_,51.18µm
_02526_,50.98µm
_06373_,50.92µm
_03608_,50.72µm
_06391_,50.68µm
_03001_,50.66µm
_02220_,50.48µm
net285,50.34µm
_06395_,50.3µm
multiplier_inst.man_final\[21\],49.9µm
adder_inst.is_inf_b_r,49.735µm
_04949_,49.64µm
_06067_,49.64µm
_01226_,49.5µm
clknet_leaf_1_clk,49.44µm
_06881_,49.37µm
_03418_,49.32µm
_06265_,49.32µm
_03043_,49.28µm
_02993_,49.26µm
_04748_,49.1µm
adder_inst.is_inf_a_r,49.1µm
adder_inst.man_b\[23\],49.08µm
_03639_,49.06µm
_05339_,49.04µm
_03045_,49µm
adder_inst.exp_a\[4\],48.94µm
_00567_,48.88µm
net370,48.58µm
_02339_,48.54µm
_00064_,48.52µm
_06526_,48.38µm
_06495_,48.37µm
_07078_,48.2µm
_01479_,48.14µm
_01564_,48.06µm
mul_res\[15\],47.86µm
adder_inst.exp_larger_r\[7\],47.82µm
_03792_,47.6µm
_01250_,47.54µm
_00823_,47.38µm
_06740_,47.36µm
multiplier_inst.man_final_r\[12\],47.3µm
_06054_,47.22µm
_02343_,47.18µm
_05154_,47.14µm
net371,47.12µm
_06461_,47.08µm
_03416_,47.06µm
_03849_,46.94µm
_06635_,46.84µm
_06644_,46.84µm
_06706_,46.82µm
_06638_,46.7µm
_06790_,46.69µm
_06818_,46.57µm
_03477_,46.56µm
_02721_,46.52µm
_07513_,46.48µm
_07183_,46.41µm
_00888_,46.4µm
_03555_,46.4µm
_06688_,46.36µm
adder_inst.exp_a\[2\],46.18µm
_01424_,46.02µm
_02825_,46.02µm
net291,46.02µm
adder_inst.i_b\[16\],45.99µm
_04367_,45.92µm
_07494_,45.835µm
_00063_,45.68µm
_01878_,45.64µm
adder_inst.i_b\[12\],45.64µm
_03827_,45.62µm
adder_inst.exp_a_r\[0\],45.41µm
net299,45.4µm
_06389_,45.38µm
adder_inst.i_b\[17\],45.36µm
_03247_,45.3µm
_05209_,45.2µm
net266,45.16µm
_04812_,45.11µm
_03846_,45.08µm
_01286_,44.94µm
_02050_,44.88µm
_01396_,44.84µm
_06952_,44.76µm
net104,44.7µm
_02491_,44.66µm
_00493_,44.6µm
_06919_,44.6µm
_01727_,44.52µm
_07409_,44.5µm
_01283_,44.36µm
_03216_,44.28µm
_04218_,44.26µm
_03617_,43.94µm
_04709_,43.82µm
_06777_,43.74µm
adder_inst.man_a_r\[3\],43.64µm
_00914_,43.62µm
_05585_,43.5µm
_06013_,43.38µm
_01212_,43.32µm
_07065_,43.32µm
_04619_,43.26µm
_05740_,43.26µm
adder_inst.i_b\[14\],43.26µm
_05034_,43.24µm
_01551_,43.22µm
_06926_,43.215µm
_04796_,43.16µm
_06218_,43.14µm
_07816_,43.04µm
_04024_,42.98µm
_06943_,42.98µm
_01963_,42.94µm
_01481_,42.88µm
net369,42.86µm
_01566_,42.84µm
_05797_,42.84µm
_06942_,42.84µm
adder_inst.exp_b\[2\],42.76µm
_06460_,42.58µm
_00893_,42.36µm
_04802_,42.345µm
_07507_,42.26µm
_01849_,42.21µm
_06650_,42.12µm
mul_res\[10\],42.08µm
_03696_,42.04µm
_03755_,42µm
_04869_,41.96µm
_03030_,41.92µm
_01889_,41.88µm
_06315_,41.74µm
_07293_,41.72µm
_04184_,41.6µm
_04388_,41.56µm
_05912_,41.335µm
_01300_,41.24µm
adder_inst.exp_a_r\[5\],41.24µm
_06781_,41.14µm
_06497_,41.1µm
_01644_,41.08µm
_01957_,41.08µm
_03376_,40.9µm
_01503_,40.84µm
adder_inst.man_b_r\[13\],40.78µm
_01767_,40.72µm
_03800_,40.7µm
adder_inst.exp_a_r\[4\],40.52µm
adder_inst.is_zero_r,40.52µm
_04905_,40.5µm
_04524_,40.38µm
_02493_,40.24µm
_05384_,40.24µm
_01550_,40.22µm
net254,40.14µm
_06160_,40.065µm
adder_inst.exp_a_r\[1\],39.98µm
_05326_,39.92µm
_07320_,39.78µm
adder_inst.exp_a\[5\],39.66µm
_04109_,39.635µm
_05347_,39.59µm
net368,39.56µm
_01342_,39.46µm
_04614_,39.38µm
_05068_,39.31µm
_06933_,39.28µm
_07651_,39.26µm
_00539_,39.24µm
_06209_,39.24µm
_05002_,39.1µm
_06193_,39.08µm
_07489_,39.06µm
_05055_,39.04µm
_07444_,39.04µm
_02362_,39.02µm
_00519_,39µm
_06506_,38.94µm
_04413_,38.88µm
adder_inst.man_a\[23\],38.88µm
_06043_,38.76µm
_07819_,38.74µm
_01137_,38.7µm
_04011_,38.66µm
_01372_,38.62µm
_01729_,38.54µm
_02242_,38.51µm
_01314_,38.5µm
_02120_,38.5µm
_03867_,38.48µm
_00808_,38.46µm
_06325_,38.46µm
_05273_,38.38µm
_06353_,38.34µm
_06633_,38.34µm
_06647_,38.245µm
adder_inst.man_a_r\[4\],38.22µm
_06018_,38.18µm
_00679_,38.16µm
_06725_,38.12µm
_04747_,38.11µm
_04334_,38.08µm
_07695_,38µm
_07856_,37.96µm
_02101_,37.94µm
_06867_,37.92µm
_05510_,37.88µm
_05952_,37.88µm
_00546_,37.76µm
adder_inst.exp_larger_r\[6\],37.74µm
_01822_,37.72µm
net294,37.7µm
_06949_,37.62µm
_01664_,37.56µm
_05116_,37.56µm
_03414_,37.52µm
_04090_,37.42µm
_07492_,37.4µm
_04558_,37.38µm
_01687_,37.35µm
_00564_,37.34µm
_02760_,37.3µm
_03834_,37.28µm
_06595_,37.27µm
_04010_,37.22µm
adder_inst.man_b_r\[11\],37.18µm
_04249_,37.16µm
_05125_,36.98µm
_05144_,36.95µm
_05308_,36.93µm
adder_inst.exp_a\[0\],36.845µm
_02888_,36.82µm
adder_inst.man_b_r\[12\],36.76µm
_06192_,36.75µm
_02583_,36.7µm
adder_inst.is_inf_a,36.68µm
_07108_,36.66µm
adder_inst.man_b_r\[8\],36.66µm
_04386_,36.64µm
_05595_,36.62µm
_03000_,36.52µm
_06335_,36.4µm
_02117_,36.38µm
_06221_,36.3µm
adder_inst.exp_b_r\[4\],36.3µm
_06855_,36.22µm
_07850_,36.18µm
_03008_,36.16µm
_06004_,36.14µm
multiplier_inst.is_inf_r,36.08µm
_00954_,35.94µm
_03220_,35.94µm
_07483_,35.94µm
_03250_,35.9µm
_06975_,35.845µm
_02324_,35.76µm
_06969_,35.7µm
_05245_,35.68µm
_05473_,35.68µm
_06938_,35.6µm
multiplier_inst.man_final_r\[11\],35.6µm
_01602_,35.52µm
_03679_,35.44µm
_07508_,35.4µm
_04708_,35.36µm
