net,length_um
_03804_,26.6µm
_00993_,26.58µm
_05368_,26.58µm
_06121_,26.58µm
_01156_,26.56µm
_04156_,26.54µm
_00746_,26.44µm
_03177_,26.38µm
_02896_,26.3µm
_00475_,26.28µm
_00681_,26.28µm
_01923_,26.24µm
_01836_,26.2µm
_07180_,26.18µm
_02774_,26.14µm
_03062_,26.14µm
_03129_,26.1µm
_04409_,26.06µm
_00982_,26.02µm
_07440_,26µm
_05661_,25.99µm
_01804_,25.98µm
_04288_,25.94µm
_00951_,25.905µm
_01773_,25.9µm
_01241_,25.89µm
_02853_,25.84µm
_01494_,25.8µm
_04517_,25.8µm
_06789_,25.76µm
_03701_,25.7µm
_07767_,25.7µm
_02876_,25.665µm
_03239_,25.64µm
_04461_,25.64µm
_06845_,25.62µm
_06498_,25.6µm
_06401_,25.58µm
_03420_,25.54µm
_04032_,25.48µm
_01757_,25.44µm
_03102_,25.44µm
_05175_,25.44µm
_02524_,25.42µm
net355,25.42µm
_07033_,25.405µm
_02429_,25.38µm
adder_inst.man_b_r\[9\],25.38µm
_06797_,25.36µm
net365,25.34µm
_04049_,25.32µm
_01133_,25.3µm
_01976_,25.26µm
_05394_,25.24µm
_00895_,25.22µm
_05346_,25.18µm
_06685_,25.12µm
_02564_,25.06µm
_05804_,25.06µm
_00833_,25.04µm
_01595_,25.04µm
_01683_,25.04µm
_01030_,25µm
_01197_,25µm
_07051_,25µm
_02497_,24.96µm
_06593_,24.94µm
adder_inst.man_b_r\[1\],24.94µm
_01578_,24.92µm
_01928_,24.92µm
_06813_,24.9µm
_04206_,24.86µm
_01911_,24.84µm
_06202_,24.84µm
_06733_,24.84µm
_04526_,24.83µm
_06580_,24.82µm
_01538_,24.8µm
_03694_,24.8µm
_03517_,24.78µm
_02031_,24.72µm
_05257_,24.7µm
_02769_,24.68µm
_07484_,24.68µm
_06129_,24.66µm
_03673_,24.6µm
_07390_,24.59µm
_04295_,24.58µm
adder_inst.man_a_r\[6\],24.58µm
_07863_,24.52µm
_07267_,24.5µm
net37,24.5µm
_03473_,24.46µm
_00451_,24.44µm
_01411_,24.44µm
_01432_,24.44µm
_07084_,24.44µm
_02872_,24.38µm
_07632_,24.38µm
_06605_,24.36µm
_05065_,24.34µm
_02547_,24.335µm
_00525_,24.32µm
_06275_,24.28µm
_05746_,24.26µm
_05836_,24.26µm
_00938_,24.22µm
_04521_,24.22µm
_04654_,24.22µm
_05707_,24.22µm
_06937_,24.22µm
_07003_,24.22µm
_04405_,24.2µm
_00506_,24.175µm
_02732_,24.16µm
net38,24.16µm
_06039_,24.14µm
_01837_,24.1µm
_03215_,24.1µm
_00458_,24.06µm
_01090_,24.06µm
_07226_,24.06µm
_00561_,24.02µm
_03728_,24µm
_06988_,24µm
_07862_,24µm
_04284_,23.99µm
_00742_,23.98µm
_00755_,23.98µm
_00894_,23.92µm
_07646_,23.92µm
multiplier_inst.man_final_r\[5\],23.92µm
_02103_,23.91µm
_03435_,23.9µm
_06220_,23.9µm
adder_inst.man_b_r\[21\],23.88µm
_06609_,23.77µm
net354,23.765µm
_06800_,23.76µm
_02227_,23.755µm
clknet_leaf_21_clk,23.73µm
_03963_,23.72µm
_01074_,23.7µm
_04728_,23.7µm
_02349_,23.68µm
_07455_,23.68µm
_01921_,23.66µm
_02845_,23.66µm
_07089_,23.655µm
_00093_,23.64µm
_01818_,23.64µm
_06815_,23.64µm
_01605_,23.62µm
_02144_,23.57µm
_05866_,23.54µm
_07040_,23.54µm
_00521_,23.52µm
_05299_,23.52µm
_06092_,23.52µm
_03935_,23.5µm
_02178_,23.48µm
_00836_,23.46µm
_02059_,23.46µm
_01916_,23.42µm
_03931_,23.42µm
_01855_,23.38µm
_07790_,23.38µm
_00810_,23.36µm
_00465_,23.34µm
_07248_,23.34µm
_02605_,23.33µm
_06304_,23.28µm
_06726_,23.27µm
_00586_,23.26µm
_03136_,23.26µm
_03719_,23.26µm
_02338_,23.24µm
_06900_,23.22µm
_07693_,23.2µm
add_res\[5\],23.2µm
multiplier_inst.exp_final\[5\],23.18µm
_03263_,23.16µm
_06537_,23.16µm
_02828_,23.14µm
_07732_,23.14µm
_07888_,23.14µm
_01205_,23.06µm
_07746_,23.06µm
_05303_,23.04µm
_05206_,23.02µm
_07398_,23µm
_05108_,22.98µm
_05180_,22.98µm
_06604_,22.96µm
_07771_,22.96µm
i_a[26],22.94µm
_05800_,22.86µm
_07577_,22.84µm
multiplier_inst.man_final_r\[13\],22.8µm
_02111_,22.78µm
_06248_,22.72µm
_05276_,22.715µm
_01023_,22.7µm
_02713_,22.7µm
_06216_,22.685µm
_07064_,22.68µm
i_b[14],22.67µm
_03054_,22.64µm
_03862_,22.64µm
_04575_,22.64µm
_05976_,22.64µm
_06648_,22.64µm
_01673_,22.62µm
_06188_,22.62µm
_06542_,22.6µm
_05786_,22.59µm
_03018_,22.58µm
_04999_,22.56µm
_06047_,22.56µm
_01399_,22.52µm
_02551_,22.52µm
_05792_,22.43µm
_07271_,22.42µm
_02561_,22.4µm
_05680_,22.38µm
_02567_,22.36µm
_03614_,22.32µm
_01407_,22.3µm
_03668_,22.3µm
_06523_,22.3µm
_03600_,22.26µm
_06582_,22.235µm
_02940_,22.22µm
adder_inst.exp_a_r\[6\],22.22µm
_01762_,22.2µm
_00497_,22.17µm
_06907_,22.16µm
_02134_,22.14µm
_06544_,22.12µm
net34,22.12µm
_04358_,22µm
_05314_,22µm
_06158_,22µm
_07490_,22µm
_07549_,22µm
adder_inst.is_zero_a_r,22µm
_02815_,21.96µm
_04493_,21.96µm
_06817_,21.96µm
adder_inst.i_a\[0\],21.96µm
_01154_,21.94µm
_03598_,21.94µm
_01751_,21.92µm
_02691_,21.92µm
_01096_,21.9µm
_05115_,21.88µm
multiplier_inst.man_final\[0\],21.88µm
_03742_,21.84µm
_07750_,21.84µm
_03650_,21.82µm
_06992_,21.82µm
_05708_,21.8µm
_05735_,21.8µm
add_res\[14\],21.8µm
_01722_,21.78µm
_06686_,21.76µm
_03654_,21.72µm
_05860_,21.72µm
_02112_,21.7µm
_04463_,21.7µm
_07237_,21.7µm
_07472_,21.66µm
_07791_,21.64µm
_05950_,21.62µm
_01800_,21.6µm
_01841_,21.56µm
_06511_,21.56µm
_02307_,21.54µm
_06801_,21.54µm
_05525_,21.52µm
_06600_,21.5µm
_07678_,21.48µm
_00608_,21.46µm
_05030_,21.46µm
_07244_,21.44µm
_07656_,21.44µm
_07647_,21.4µm
_03702_,21.38µm
_04810_,21.38µm
_06788_,21.38µm
_04189_,21.36µm
_01275_,21.34µm
_03423_,21.34µm
_04071_,21.34µm
_03756_,21.32µm
_07328_,21.3µm
_04168_,21.26µm
_04257_,21.26µm
_00057_,21.24µm
_00434_,21.24µm
_02124_,21.24µm
_06211_,21.24µm
_05377_,21.23µm
_01255_,21.22µm
_05113_,21.22µm
adder_inst.i_b\[3\],21.22µm
_04516_,21.2µm
_06948_,21.2µm
_03124_,21.16µm
_06472_,21.16µm
adder_inst.i_a\[10\],21.16µm
_02454_,21.14µm
_06989_,21.14µm
mul_res\[28\],21.14µm
_04866_,21.13µm
_05134_,21.12µm
_07370_,21.12µm
_00770_,21.1µm
_01385_,21.08µm
_04562_,21.08µm
_02781_,21.06µm
_00966_,21.055µm
_02615_,21.04µm
_05794_,21.02µm
_04454_,20.98µm
_06573_,20.98µm
_04323_,20.96µm
_04863_,20.96µm
_05739_,20.94µm
_00962_,20.92µm
_01461_,20.92µm
_04076_,20.92µm
_06851_,20.92µm
_07009_,20.92µm
_03360_,20.9µm
_00632_,20.88µm
_06179_,20.86µm
_07699_,20.86µm
_04191_,20.82µm
_07391_,20.795µm
_00447_,20.78µm
_01008_,20.78µm
multiplier_inst.man_final\[16\],20.78µm
_00757_,20.76µm
_00861_,20.76µm
mul_res\[2\],20.74µm
_06257_,20.72µm
_07413_,20.72µm
_03499_,20.7µm
_06352_,20.7µm
_03583_,20.68µm
adder_inst.i_b\[10\],20.68µm
_02301_,20.64µm
_03183_,20.64µm
_06099_,20.64µm
_05879_,20.58µm
_00750_,20.54µm
_07220_,20.54µm
_07802_,20.54µm
_02841_,20.52µm
_05011_,20.52µm
_06836_,20.52µm
_00629_,20.5µm
_01020_,20.5µm
_02984_,20.5µm
_06508_,20.46µm
_02449_,20.44µm
_06341_,20.44µm
_06619_,20.44µm
net357,20.44µm
_04442_,20.4µm
_06594_,20.4µm
_04758_,20.395µm
_02562_,20.38µm
_05542_,20.38µm
_07685_,20.38µm
_07164_,20.36µm
_04960_,20.34µm
_06291_,20.34µm
net350,20.34µm
_06370_,20.32µm
_00694_,20.3µm
_01894_,20.3µm
adder_inst.i_a\[16\],20.3µm
_05357_,20.28µm
_05596_,20.28µm
_06455_,20.28µm
_01539_,20.24µm
_03635_,20.24µm
adder_inst.i_vld_r2,20.24µm
_02844_,20.22µm
_06868_,20.22µm
_02208_,20.21µm
_01369_,20.2µm
_07631_,20.2µm
_07783_,20.2µm
_03461_,20.18µm
adder_inst.i_a\[5\],20.16µm
_03940_,20.15µm
_02698_,20.14µm
_01263_,20.12µm
_01359_,20.12µm
_07311_,20.12µm
_01691_,20.06µm
_02466_,20.06µm
_05629_,20.06µm
_00718_,20.02µm
_02001_,20.02µm
add_res\[8\],20µm
_03900_,19.98µm
_02379_,19.96µm
_06266_,19.96µm
_07793_,19.96µm
_02156_,19.94µm
_01802_,19.92µm
_00800_,19.9µm
_05278_,19.895µm
_00690_,19.88µm
_05910_,19.88µm
_03281_,19.86µm
_03892_,19.84µm
_05266_,19.84µm
_02486_,19.82µm
_02630_,19.8µm
_06968_,19.8µm
_06333_,19.78µm
_03106_,19.76µm
_02962_,19.74µm
_03664_,19.74µm
_07297_,19.74µm
i_a[30],19.72µm
_05268_,19.7µm
_06399_,19.7µm
_00614_,19.68µm
_02926_,19.68µm
_04416_,19.68µm
_05671_,19.675µm
_02128_,19.66µm
_03504_,19.66µm
net45,19.66µm
_03179_,19.64µm
_06630_,19.64µm
_07666_,19.64µm
_05528_,19.6µm
_00516_,19.58µm
_02159_,19.58µm
_05623_,19.58µm
_01231_,19.56µm
_02424_,19.56µm
adder_inst.i_a\[11\],19.56µm
_03549_,19.54µm
net18,19.54µm
_01724_,19.52µm
_07673_,19.52µm
_00768_,19.5µm
_01290_,19.5µm
_02202_,19.5µm
_05393_,19.5µm
_07397_,19.5µm
_01785_,19.48µm
_06415_,19.48µm
_05975_,19.475µm
_07207_,19.46µm
_07250_,19.46µm
_03627_,19.45µm
_04470_,19.45µm
_01510_,19.42µm
_06133_,19.4µm
_02286_,19.38µm
_07764_,19.38µm
_02729_,19.36µm
_04816_,19.36µm
_05037_,19.36µm
_05311_,19.36µm
_05591_,19.36µm
_03242_,19.34µm
_04732_,19.34µm
_02959_,19.32µm
_06824_,19.32µm
_01607_,19.3µm
net41,19.3µm
_02981_,19.28µm
_06452_,19.28µm
_07574_,19.28µm
_07252_,19.26µm
i_b[24],19.26µm
_07800_,19.24µm
_02709_,19.22µm
_05155_,19.2µm
_02122_,19.18µm
adder_inst.exp_b\[5\],19.18µm
_00817_,19.165µm
_03544_,19.16µm
adder_inst.man_b_r\[15\],19.16µm
net362,19.16µm
_03739_,19.14µm
_04176_,19.12µm
add_res\[3\],19.12µm
_05546_,19.1µm
_02171_,19.08µm
multiplier_inst.man_final_r\[4\],19.08µm
_02975_,19.04µm
_00441_,19.02µm
_01363_,19.02µm
_01495_,19.02µm
_01532_,19.02µm
_04320_,19.01µm
_00903_,18.98µm
_01854_,18.98µm
_04789_,18.96µm
_00805_,18.95µm
_03317_,18.95µm
_01489_,18.94µm
_05361_,18.94µm
_06641_,18.93µm
_02555_,18.9µm
_03771_,18.9µm
_00740_,18.84µm
_03572_,18.84µm
_06722_,18.84µm
_00482_,18.835µm
_01317_,18.82µm
_02972_,18.82µm
_05620_,18.82µm
_06846_,18.82µm
_07692_,18.82µm
_02391_,18.8µm
_04143_,18.8µm
_02998_,18.76µm
_01099_,18.74µm
_02571_,18.74µm
_06979_,18.74µm
_07822_,18.73µm
_06222_,18.72µm
_07721_,18.72µm
_00943_,18.7µm
_01599_,18.7µm
_01788_,18.7µm
_01216_,18.68µm
_05841_,18.68µm
_05698_,18.66µm
_06520_,18.66µm
_03825_,18.655µm
_00480_,18.62µm
adder_inst.i_a\[7\],18.62µm
_02095_,18.6µm
_07810_,18.6µm
_00953_,18.54µm
_01435_,18.54µm
_07642_,18.54µm
_07864_,18.5µm
_02004_,18.48µm
_04663_,18.48µm
_04373_,18.46µm
_06045_,18.46µm
_07395_,18.46µm
adder_inst.exp_a\[3\],18.46µm
_00559_,18.44µm
_07005_,18.44µm
_07193_,18.44µm
_00974_,18.43µm
_01865_,18.42µm
_00611_,18.4µm
_01394_,18.4µm
_02986_,18.4µm
_02795_,18.39µm
_04135_,18.38µm
_04163_,18.38µm
_06419_,18.36µm
_06849_,18.36µm
_05903_,18.34µm
_02992_,18.32µm
_04618_,18.32µm
_06808_,18.32µm
_06699_,18.3µm
_06758_,18.3µm
_05920_,18.28µm
_07079_,18.28µm
_01007_,18.22µm
_01147_,18.22µm
_05776_,18.22µm
_06683_,18.2µm
_03899_,18.17µm
_07500_,18.16µm
_06478_,18.14µm
_00749_,18.12µm
_02762_,18.12µm
_04731_,18.12µm
_03226_,18.1µm
_04714_,18.04µm
_07095_,18.04µm
_03920_,18.02µm
_00436_,18µm
_06094_,18µm
_02557_,17.99µm
_05813_,17.98µm
add_res\[15\],17.98µm
_03405_,17.96µm
_03948_,17.96µm
_06287_,17.96µm
_03580_,17.95µm
_03808_,17.94µm
_04341_,17.94µm
_03584_,17.92µm
_03671_,17.92µm
_04888_,17.9µm
_06995_,17.9µm
_02387_,17.88µm
_05951_,17.88µm
net22,17.865µm
_05627_,17.86µm
_06622_,17.86µm
_06809_,17.86µm
_06402_,17.84µm
_03669_,17.82µm
_04801_,17.82µm
_07175_,17.82µm
net35,17.82µm
_06417_,17.81µm
i_a[10],17.79µm
_04974_,17.78µm
_07367_,17.78µm
_07835_,17.78µm
_01662_,17.75µm
_07027_,17.74µm
_01926_,17.7µm
_03172_,17.7µm
_03336_,17.7µm
_05107_,17.7µm
_06860_,17.7µm
_06869_,17.7µm
_01149_,17.67µm
_02195_,17.66µm
_00592_,17.64µm
_02011_,17.64µm
_05260_,17.64µm
_06317_,17.64µm
_06406_,17.64µm
_07720_,17.62µm
_01627_,17.6µm
_04660_,17.58µm
i_a[28],17.58µm
_00553_,17.57µm
_06693_,17.56µm
_05150_,17.545µm
_04237_,17.54µm
_04480_,17.54µm
_04400_,17.52µm
_06517_,17.52µm
_01143_,17.49µm
_02167_,17.48µm
_06783_,17.48µm
adder_inst.exp_b\[1\],17.48µm
_04778_,17.475µm
_01639_,17.46µm
_03427_,17.44µm
_03746_,17.42µm
_07552_,17.41µm
_00939_,17.4µm
_02140_,17.4µm
_02912_,17.4µm
_06959_,17.4µm
_01043_,17.34µm
_05839_,17.33µm
_01085_,17.32µm
_02520_,17.32µm
_02717_,17.32µm
_03905_,17.32µm
_04326_,17.32µm
adder_inst.man_a_r\[11\],17.32µm
_06684_,17.3µm
_01646_,17.28µm
_01919_,17.28µm
_02970_,17.28µm
_03194_,17.28µm
_05604_,17.28µm
_06623_,17.28µm
_03157_,17.24µm
_05658_,17.24µm
_01523_,17.22µm
_03396_,17.22µm
_07140_,17.22µm
_01108_,17.2µm
_05174_,17.2µm
_07660_,17.2µm
_00010_,17.18µm
_03761_,17.18µm
net67,17.18µm
_01580_,17.14µm
_03122_,17.14µm
_06716_,17.14µm
_06983_,17.14µm
_07384_,17.14µm
_03452_,17.12µm
_05484_,17.12µm
i_b[2],17.12µm
_02860_,17.1µm
_03781_,17.1µm
_07654_,17.1µm
_07879_,17.08µm
adder_inst.i_a\[3\],17.08µm
_06479_,17.06µm
_02471_,17.02µm
_03631_,17.02µm
_01087_,16.98µm
_02412_,16.98µm
_07279_,16.98µm
_01168_,16.96µm
_01610_,16.96µm
_03107_,16.96µm
_04627_,16.96µm
_05350_,16.96µm
_02587_,16.94µm
_05864_,16.94µm
_06903_,16.94µm
adder_inst.exp_larger_r\[5\],16.94µm
_00646_,16.92µm
_07877_,16.92µm
_03589_,16.905µm
_05560_,16.9µm
opcode,16.89µm
_01760_,16.88µm
_04243_,16.88µm
net24,16.88µm
_01846_,16.86µm
_04128_,16.86µm
_07238_,16.86µm
_07890_,16.86µm
_05911_,16.85µm
_02013_,16.84µm
_03012_,16.84µm
_03203_,16.82µm
_00471_,16.78µm
_07719_,16.78µm
adder_inst.exp_a_r\[7\],16.78µm
multiplier_inst.man_final_r\[10\],16.78µm
_01468_,16.74µm
_01558_,16.74µm
_02651_,16.72µm
_07394_,16.72µm
_00754_,16.7µm
_01860_,16.7µm
_04458_,16.68µm
_04657_,16.68µm
_04706_,16.68µm
_04988_,16.665µm
_01482_,16.66µm
_03686_,16.66µm
_06587_,16.66µm
_03285_,16.64µm
_04379_,16.64µm
_04860_,16.64µm
_07823_,16.62µm
_01036_,16.6µm
_00707_,16.58µm
_02039_,16.58µm
net46,16.58µm
_06361_,16.56µm
_00022_,16.54µm
_00485_,16.54µm
_05010_,16.54µm
_05517_,16.54µm
_07742_,16.54µm
adder_inst.man_b_r\[3\],16.54µm
_00765_,16.52µm
_00779_,16.52µm
_01246_,16.52µm
_02620_,16.52µm
_06828_,16.52µm
_02572_,16.515µm
_01190_,16.5µm
_05930_,16.5µm
_03683_,16.48µm
_04712_,16.48µm
_05359_,16.48µm
adder_inst.exp_b\[6\],16.48µm
_02907_,16.44µm
_04535_,16.44µm
_03889_,16.42µm
_03957_,16.4µm
_05948_,16.4µm
net416,16.4µm
_02199_,16.38µm
net360,16.38µm
_01366_,16.36µm
_06187_,16.36µm
_05445_,16.28µm
_07717_,16.28µm
_04112_,16.26µm
_03368_,16.24µm
_04200_,16.24µm
_07886_,16.24µm
_01033_,16.22µm
_06895_,16.22µm
_05176_,16.2µm
_06091_,16.2µm
_07799_,16.2µm
_01635_,16.18µm
_03121_,16.18µm
_03983_,16.18µm
_05744_,16.18µm
_07672_,16.18µm
_02229_,16.14µm
_07827_,16.14µm
_02935_,16.13µm
i_a[27],16.12µm
_02707_,16.1µm
_05028_,16.1µm
net87,16.1µm
_04989_,16.08µm
_03234_,16.06µm
_01171_,16.02µm
_05265_,16.02µm
_02367_,15.98µm
net40,15.98µm
_01584_,15.96µm
_02764_,15.94µm
_06882_,15.94µm
mul_res\[13\],15.94µm
_02377_,15.92µm
_07777_,15.92µm
_00590_,15.9µm
_01315_,15.9µm
_02765_,15.9µm
_04540_,15.9µm
_07322_,15.9µm
adder_inst.man_a_r\[12\],15.9µm
multiplier_inst.man_final_r\[8\],15.9µm
_03717_,15.88µm
_05233_,15.88µm
_04710_,15.86µm
_05540_,15.86µm
_06024_,15.86µm
_04527_,15.84µm
_05552_,15.84µm
net39,15.84µm
_00958_,15.82µm
_05979_,15.82µm
_06567_,15.82µm
_06761_,15.82µm
_07670_,15.82µm
_02224_,15.8µm
_02540_,15.8µm
_02932_,15.8µm
_03238_,15.8µm
_04701_,15.8µm
adder_inst.exp_b_r\[6\],15.8µm
_00491_,15.795µm
_05188_,15.78µm
net401,15.78µm
_01888_,15.76µm
_02534_,15.76µm
_07848_,15.76µm
_06384_,15.74µm
_01253_,15.73µm
_01410_,15.72µm
_03007_,15.72µm
_06033_,15.72µm
net418,15.72µm
_00541_,15.71µm
_01886_,15.7µm
_04961_,15.7µm
_03457_,15.695µm
_01079_,15.68µm
_03259_,15.68µm
_06574_,15.68µm
multiplier_inst.exp_final\[6\],15.68µm
_05317_,15.66µm
_01859_,15.64µm
_01939_,15.64µm
_05883_,15.62µm
_05772_,15.6µm
_03068_,15.57µm
_01693_,15.56µm
_00668_,15.54µm
_01464_,15.54µm
_04633_,15.54µm
_04898_,15.54µm
_03550_,15.52µm
_04342_,15.5µm
_07199_,15.5µm
_04173_,15.48µm
_05609_,15.48µm
_06101_,15.48µm
_07762_,15.48µm
_04529_,15.46µm
_04697_,15.46µm
_05214_,15.46µm
net19,15.46µm
net361,15.46µm
_02688_,15.44µm
_04846_,15.44µm
_07745_,15.44µm
_02212_,15.43µm
_04570_,15.42µm
_03515_,15.4µm
_04955_,15.4µm
_00849_,15.38µm
_02247_,15.38µm
_03788_,15.38µm
_04963_,15.38µm
_05096_,15.38µm
_06169_,15.38µm
_00550_,15.36µm
_04456_,15.36µm
_01176_,15.34µm
_06914_,15.34µm
_07639_,15.34µm
_02012_,15.32µm
_04430_,15.32µm
_03890_,15.31µm
_01552_,15.3µm
_02777_,15.3µm
net358,15.3µm
_01337_,15.28µm
_02772_,15.28µm
_03785_,15.28µm
_01301_,15.26µm
_04255_,15.26µm
_03968_,15.24µm
_06119_,15.24µm
_06956_,15.24µm
_07453_,15.24µm
_01040_,15.22µm
_02679_,15.2µm
_02817_,15.2µm
_05029_,15.2µm
_05090_,15.2µm
_06566_,15.2µm
_00513_,15.18µm
_00689_,15.18µm
_02142_,15.18µm
net352,15.18µm
_00659_,15.165µm
_01871_,15.16µm
_01881_,15.16µm
_03393_,15.16µm
_00920_,15.14µm
_02314_,15.14µm
_03228_,15.14µm
_05072_,15.14µm
_07482_,15.14µm
_00639_,15.1µm
_02086_,15.1µm
_06576_,15.1µm
_06654_,15.1µm
_07645_,15.1µm
adder_inst.sum_raw\[21\],15.1µm
_01991_,15.08µm
_04299_,15.07µm
_06778_,15.06µm
add_res\[13\],15.06µm
adder_inst.i_b\[2\],15.06µm
_02515_,15.04µm
_04303_,15.04µm
_04345_,15.04µm
_05929_,15.04µm
_01634_,15.02µm
_06122_,15.02µm
_00760_,15.015µm
i_b[12],15.01µm
_02194_,14.98µm
_03952_,14.98µm
_06878_,14.98µm
_07587_,14.98µm
_02740_,14.96µm
_00692_,14.94µm
_04876_,14.94µm
_06027_,14.94µm
_03059_,14.92µm
_00621_,14.9µm
_04967_,14.9µm
_07535_,14.9µm
_07668_,14.9µm
_01420_,14.895µm
_00802_,14.88µm
_05766_,14.88µm
_07012_,14.88µm
_07683_,14.88µm
_03028_,14.86µm
_04039_,14.86µm
_04088_,14.86µm
_03135_,14.84µm
_04579_,14.84µm
adder_inst.i_a\[2\],14.84µm
_03708_,14.82µm
_05603_,14.81µm
_03089_,14.8µm
_03292_,14.8µm
_05349_,14.8µm
_07004_,14.8µm
_07289_,14.8µm
_01526_,14.78µm
_02006_,14.78µm
_05293_,14.78µm
_04791_,14.775µm
_01236_,14.74µm
_05949_,14.74µm
_07854_,14.72µm
_02185_,14.7µm
_04528_,14.7µm
_06976_,14.68µm
_07102_,14.68µm
_03243_,14.66µm
i_a[25],14.66µm
_01739_,14.64µm
_04843_,14.64µm
_06642_,14.64µm
net61,14.63µm
_07871_,14.62µm
_00439_,14.6µm
_01146_,14.6µm
_03678_,14.6µm
_06954_,14.6µm
multiplier_inst.man_final_r\[1\],14.6µm
_06345_,14.58µm
_01426_,14.56µm
_01648_,14.56µm
_02204_,14.56µm
_07088_,14.56µm
_05414_,14.55µm
_01795_,14.54µm
_02754_,14.54µm
_04046_,14.54µm
mul_res\[18\],14.54µm
_04349_,14.525µm
_04994_,14.525µm
_01406_,14.52µm
_01851_,14.52µm
_03291_,14.52µm
multiplier_inst.man_final_r\[17\],14.52µm
_03869_,14.5µm
_06806_,14.5µm
_00988_,14.48µm
_01574_,14.48µm
_04099_,14.48µm
_04735_,14.48µm
_05644_,14.48µm
_05783_,14.48µm
_05858_,14.48µm
_06561_,14.48µm
_00067_,14.46µm
_00619_,14.46µm
_06743_,14.46µm
_07506_,14.46µm
_07612_,14.46µm
_03480_,14.44µm
_03552_,14.44µm
_07156_,14.44µm
_07569_,14.44µm
i_vld,14.44µm
_00709_,14.42µm
_01483_,14.42µm
_02155_,14.42µm
_02611_,14.38µm
_02046_,14.36µm
_02727_,14.36µm
_03870_,14.36µm
_05075_,14.36µm
_07439_,14.36µm
_02807_,14.34µm
_02832_,14.34µm
_05121_,14.34µm
_06514_,14.34µm
_06786_,14.34µm
_07112_,14.34µm
adder_inst.exp_b_r\[5\],14.34µm
_00001_,14.32µm
_01625_,14.32µm
_01907_,14.32µm
_02851_,14.32µm
_05304_,14.32µm
_02854_,14.3µm
_05751_,14.3µm
_05863_,14.3µm
_06009_,14.3µm
_06936_,14.3µm
_03174_,14.28µm
_07797_,14.28µm
i_a[23],14.28µm
i_b[3],14.28µm
i_b[6],14.28µm
_05665_,14.26µm
_06037_,14.26µm
_06885_,14.26µm
_00685_,14.24µm
_06625_,14.24µm
_07341_,14.24µm
_04115_,14.225µm
_03759_,14.22µm
_04477_,14.22µm
adder_inst.exp_a_r\[2\],14.22µm
_00863_,14.2µm
_03326_,14.2µm
_05723_,14.18µm
adder_inst.sum_raw_r\[22\],14.18µm
_02507_,14.16µm
_01003_,14.14µm
_04565_,14.14µm
_04865_,14.14µm
_02995_,14.12µm
_04346_,14.12µm
_01903_,14.1µm
_06745_,14.1µm
_01805_,14.09µm
_04917_,14.08µm
_06407_,14.08µm
_01815_,14.06µm
_03930_,14.06µm
_04204_,14.06µm
_01674_,14.04µm
_03208_,14.04µm
_03288_,14.04µm
_03514_,14.02µm
_07423_,14.02µm
_01055_,14µm
_01477_,14µm
_05439_,14µm
_05454_,14µm
_06702_,14µm
_06804_,14µm
net359,14µm
_02622_,13.99µm
_04497_,13.98µm
_05167_,13.98µm
_00479_,13.97µm
_04715_,13.96µm
_06718_,13.96µm
_07731_,13.96µm
_01433_,13.955µm
_01028_,13.92µm
_02018_,13.92µm
_03126_,13.92µm
_05109_,13.92µm
_05358_,13.92µm
_05499_,13.92µm
_07162_,13.92µm
_07163_,13.9µm
_00702_,13.88µm
_01682_,13.88µm
_06963_,13.88µm
_07420_,13.88µm
_01077_,13.86µm
_01327_,13.86µm
_01970_,13.86µm
_02645_,13.86µm
_03883_,13.86µm
_01736_,13.85µm
_02100_,13.84µm
_04055_,13.84µm
_07310_,13.84µm
adder_inst.i_a\[19\],13.84µm
_01061_,13.82µm
_02903_,13.82µm
i_a[24],13.82µm
i_b[26],13.82µm
i_b[28],13.82µm
i_b[4],13.82µm
_00090_,13.8µm
_04445_,13.8µm
_04870_,13.8µm
_06301_,13.8µm
_01132_,13.78µm
_07205_,13.78µm
_01516_,13.76µm
_01708_,13.76µm
_06675_,13.76µm
_07011_,13.76µm
o_res[29],13.76µm
_03828_,13.74µm
_06709_,13.74µm
_07094_,13.74µm
_03859_,13.72µm
_06100_,13.72µm
_01225_,13.7µm
_01730_,13.7µm
_02098_,13.695µm
_00691_,13.68µm
_03340_,13.68µm
_04291_,13.68µm
_02554_,13.66µm
_01125_,13.64µm
_02536_,13.64µm
_03401_,13.64µm
_03605_,13.64µm
_04725_,13.64µm
_05488_,13.64µm
_04739_,13.62µm
_04792_,13.62µm
_04864_,13.62µm
_04997_,13.62µm
net338,13.62µm
net364,13.62µm
_01570_,13.6µm
_02063_,13.6µm
adder_inst.is_zero_b_r,13.6µm
i_b[13],13.59µm
_00426_,13.58µm
_00612_,13.58µm
_02833_,13.58µm
_03352_,13.58µm
_04369_,13.58µm
_06527_,13.58µm
_00570_,13.56µm
_07147_,13.56µm
i_b[5],13.52µm
_01401_,13.5µm
_01675_,13.5µm
_05692_,13.5µm
_06477_,13.5µm
_06661_,13.5µm
_07097_,13.5µm
_07575_,13.5µm
adder_inst.i_a\[6\],13.5µm
multiplier_inst.man_final_r\[15\],13.5µm
_06621_,13.48µm
_07165_,13.48µm
_00816_,13.46µm
_04132_,13.46µm
_04451_,13.46µm
_04943_,13.46µm
_06011_,13.46µm
_04450_,13.42µm
_05582_,13.42µm
_02231_,13.4µm
_04826_,13.4µm
_01597_,13.38µm
_03324_,13.38µm
_03564_,13.36µm
