net,length_um
_3342_,123.57µm
net347,123.5µm
adder_inst.man_b_r\[2\],123.02µm
net377,122.75µm
net156,121.92µm
adder_inst.exp_larger_r\[7\],121.88µm
net383,121.64µm
net348,120.92µm
clknet_leaf_22_clk,120.64µm
net229,120.37µm
net315,119.995µm
clknet_leaf_17_clk,119.62µm
adder_inst.sum_raw_r\[3\],119.43µm
net401,119.32µm
net172,119.24µm
_3180_,119.05µm
net365,119.05µm
net492,118.81µm
clknet_leaf_0_clk,118.72µm
net180,118.68µm
net123,118.31µm
net384,118.265µm
net335,118.105µm
adder_inst.is_nan_r,117.86µm
_2256_,117.18µm
adder_inst.man_b_r\[10\],116.3µm
net392,116.275µm
net364,116.14µm
_3664_,115.28µm
adder_inst.sum_raw_r\[4\],114.765µm
adder_inst.sum_raw_r\[5\],114.61µm
net163,114.34µm
net469,114.235µm
net105,113.99µm
net471,113.98µm
net119,113.65µm
adder_inst.man_b_r\[8\],111.69µm
net533,110.7µm
net488,110.635µm
net191,110.32µm
_3979_,110.02µm
net536,109.3µm
_2565_,109.22µm
net484,109.05µm
net459,109.02µm
_4341_,108.75µm
adder_inst.sum_raw_r\[10\],108.3µm
adder_inst.man_b_r\[23\],108.14µm
_4298_,108.11µm
_2787_,108.04µm
clknet_leaf_21_clk,107.87µm
net308,107.5µm
net107,107.405µm
_4306_,107.32µm
net486,107.3µm
net332,107.14µm
net387,107.11µm
net494,106.875µm
clknet_leaf_1_clk,106.65µm
net195,106.6µm
adder_inst.sum_raw_r\[1\],106.185µm
net142,105.95µm
net6,105.63µm
net470,105.62µm
net500,105.565µm
net121,105.235µm
_3504_,105.22µm
net139,104.85µm
net192,104.54µm
net498,104.23µm
net502,103.81µm
net489,103.7µm
net322,103.66µm
net543,103.635µm
adder_inst.sum_raw_r\[2\],103.305µm
net211,102.68µm
net399,102.61µm
net480,102.2µm
adder_inst.sum_raw_r\[6\],101.89µm
clknet_leaf_13_clk,101.42µm
net177,101.08µm
net530,100.96µm
_3171_,100.905µm
net146,100.8µm
net148,100.63µm
adder_inst.man_b_r\[15\],100.46µm
_3678_,100.17µm
net462,100.08µm
net374,99.92µm
net346,99.78µm
net525,99.665µm
net31,99.3µm
net540,99.13µm
multiplier_inst.is_nan_r,98.92µm
net468,98.65µm
_3960_,98.43µm
net300,98.42µm
net345,98.28µm
net170,98.2µm
net159,98.15µm
_3462_,98.07µm
net537,97.48µm
net358,97.02µm
adder_inst.sum_raw_r\[23\],96.93µm
_3189_,96.76µm
net203,96.7µm
_2582_,96.56µm
net527,96.38µm
net370,95.82µm
_0084_,95.74µm
_3357_,95.44µm
net338,95.34µm
adder_inst.sum_raw_r\[11\],95.27µm
_3176_,94.6µm
_3372_,94.59µm
net550,94.24µm
net369,94.14µm
adder_inst.exp_larger\[0\],94.04µm
net9,94.02µm
net248,93.93µm
adder_inst.i_a\[11\],93.86µm
net198,93.14µm
net362,91.64µm
_3355_,91.62µm
net491,91.13µm
adder_inst.man_a_r\[15\],91.1µm
