Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_142_53,VPWR,li1,30.5900,399.8400,1.799995
FILLER_142_41,VPWR,li1,27.1400,399.8400,1.799996
FILLER_142_29,VPWR,li1,21.6200,399.8400,1.799997
FILLER_142_27,VPWR,li1,18.1700,399.8400,1.799997
FILLER_142_15,VPWR,li1,15.1800,399.8400,1.799997
FILLER_142_3,VPWR,li1,9.6600,399.8400,1.799997
FILLER_141_841,VPWR,li1,393.7600,394.4000,1.799862
FILLER_141_834,VPWR,li1,390.5400,394.4000,1.799862
FILLER_141_809,VPWR,li1,378.1200,394.4000,1.799866
FILLER_141_797,VPWR,li1,374.9000,394.4000,1.799868
FILLER_141_785,VPWR,li1,369.3800,394.4000,1.799872
FILLER_141_783,VPWR,li1,365.9300,394.4000,1.799877
FILLER_141_777,VPWR,li1,364.3200,394.4000,1.799877
FILLER_141_765,VPWR,li1,360.1800,394.4000,1.799880
FILLER_141_753,VPWR,li1,354.6600,394.4000,1.799885
FILLER_141_741,VPWR,li1,349.1400,394.4000,1.799889
FILLER_141_729,VPWR,li1,343.6200,394.4000,1.799893
FILLER_141_726,VPWR,li1,339.9400,394.4000,1.799896
FILLER_141_714,VPWR,li1,336.7200,394.4000,1.799899
FILLER_141_702,VPWR,li1,331.2000,394.4000,1.799904
FILLER_141_690,VPWR,li1,325.6800,394.4000,1.799888
FILLER_141_664,VPWR,li1,312.8000,394.4000,1.799782
FILLER_141_652,VPWR,li1,308.2000,394.4000,1.799739
FILLER_141_640,VPWR,li1,302.6800,394.4000,1.799703
FILLER_141_556,VPWR,li1,261.5100,394.4000,1.799619
FILLER_141_505,VPWR,li1,239.6600,394.4000,1.799687
FILLER_141_503,VPWR,li1,237.1300,394.4000,1.799705
FILLER_141_497,VPWR,li1,235.5200,394.4000,1.799705
FILLER_141_485,VPWR,li1,231.3800,394.4000,1.799722
FILLER_141_473,VPWR,li1,225.8600,394.4000,1.799751
FILLER_141_461,VPWR,li1,220.3400,394.4000,1.799769
FILLER_141_449,VPWR,li1,214.8200,394.4000,1.799793
FILLER_141_447,VPWR,li1,211.3700,394.4000,1.799814
FILLER_141_441,VPWR,li1,209.7600,394.4000,1.799814
FILLER_141_429,VPWR,li1,205.6200,394.4000,1.799832
FILLER_141_417,VPWR,li1,200.1000,394.4000,1.799860
FILLER_141_405,VPWR,li1,194.5800,394.4000,1.799879
FILLER_141_393,VPWR,li1,189.0600,394.4000,1.799902
FILLER_141_391,VPWR,li1,185.6100,394.4000,1.799924
FILLER_141_385,VPWR,li1,184.0000,394.4000,1.799924
FILLER_141_373,VPWR,li1,179.8600,394.4000,1.799941
FILLER_141_361,VPWR,li1,174.3400,394.4000,1.799960
FILLER_141_349,VPWR,li1,168.8200,394.4000,1.799962
FILLER_141_337,VPWR,li1,163.3000,394.4000,1.799963
FILLER_141_335,VPWR,li1,159.8500,394.4000,1.799964
FILLER_141_329,VPWR,li1,158.2400,394.4000,1.799964
FILLER_141_317,VPWR,li1,154.1000,394.4000,1.799965
FILLER_141_305,VPWR,li1,148.5800,394.4000,1.799967
FILLER_141_293,VPWR,li1,143.0600,394.4000,1.799968
FILLER_141_281,VPWR,li1,137.5400,394.4000,1.799969
FILLER_141_279,VPWR,li1,134.0900,394.4000,1.799970
FILLER_141_273,VPWR,li1,132.4800,394.4000,1.799970
FILLER_141_261,VPWR,li1,128.3400,394.4000,1.799971
FILLER_141_249,VPWR,li1,122.8200,394.4000,1.799973
FILLER_141_237,VPWR,li1,117.3000,394.4000,1.799974
FILLER_141_225,VPWR,li1,111.7800,394.4000,1.799975
FILLER_141_223,VPWR,li1,108.3300,394.4000,1.799977
FILLER_141_217,VPWR,li1,106.7200,394.4000,1.799977
FILLER_141_205,VPWR,li1,102.5800,394.4000,1.799978
FILLER_141_193,VPWR,li1,97.0600,394.4000,1.799979
FILLER_141_181,VPWR,li1,91.5400,394.4000,1.799980
FILLER_141_169,VPWR,li1,86.0200,394.4000,1.799982
FILLER_141_167,VPWR,li1,82.5700,394.4000,1.799983
FILLER_141_161,VPWR,li1,80.9600,394.4000,1.799983
FILLER_141_149,VPWR,li1,76.8200,394.4000,1.799984
FILLER_141_137,VPWR,li1,71.3000,394.4000,1.799986
FILLER_141_125,VPWR,li1,65.7800,394.4000,1.799987
FILLER_141_113,VPWR,li1,60.2600,394.4000,1.799988
FILLER_141_111,VPWR,li1,56.8100,394.4000,1.799989
FILLER_141_105,VPWR,li1,55.2000,394.4000,1.799989
FILLER_141_93,VPWR,li1,51.0600,394.4000,1.799990
FILLER_141_81,VPWR,li1,45.5400,394.4000,1.799992
FILLER_141_69,VPWR,li1,40.0200,394.4000,1.799993
FILLER_141_57,VPWR,li1,34.5000,394.4000,1.799994
FILLER_141_55,VPWR,li1,31.0500,394.4000,1.799995
FILLER_141_51,VPWR,li1,29.9000,394.4000,1.799995
FILLER_141_39,VPWR,li1,26.2200,394.4000,1.799996
FILLER_141_27,VPWR,li1,20.7000,394.4000,1.799998
FILLER_141_15,VPWR,li1,15.1800,394.4000,1.799998
FILLER_141_3,VPWR,li1,9.6600,394.4000,1.799998
FILLER_140_845,VPWR,li1,394.6800,394.4000,1.799862
FILLER_140_837,VPWR,li1,392.3800,394.4000,1.799862
FILLER_140_825,VPWR,li1,387.7800,394.4000,1.799862
FILLER_140_813,VPWR,li1,382.2600,394.4000,1.799862
FILLER_140_811,VPWR,li1,378.8100,394.4000,1.799866
FILLER_140_805,VPWR,li1,377.2000,394.4000,1.799866
FILLER_140_793,VPWR,li1,373.0600,394.4000,1.799870
FILLER_140_781,VPWR,li1,367.5400,394.4000,1.799875
FILLER_140_769,VPWR,li1,362.0200,394.4000,1.799878
FILLER_140_757,VPWR,li1,356.5000,394.4000,1.799883
FILLER_140_755,VPWR,li1,353.0500,394.4000,1.799887
FILLER_140_749,VPWR,li1,351.4400,394.4000,1.799887
FILLER_140_737,VPWR,li1,347.3000,394.4000,1.799890
FILLER_140_725,VPWR,li1,341.7800,394.4000,1.799895
FILLER_140_713,VPWR,li1,336.2600,394.4000,1.799899
FILLER_140_701,VPWR,li1,330.7400,394.4000,1.799904
FILLER_140_699,VPWR,li1,327.2900,394.4000,1.799888
FILLER_140_695,VPWR,li1,326.1400,394.4000,1.799888
FILLER_140_683,VPWR,li1,322.4600,394.4000,1.799859
FILLER_140_662,VPWR,li1,310.2700,394.4000,1.799753
FILLER_140_656,VPWR,li1,308.6600,394.4000,1.799753
FILLER_140_642,VPWR,li1,301.3000,394.4000,1.799703
FILLER_140_597,VPWR,li1,280.6000,394.4000,1.799612
FILLER_140_553,VPWR,li1,260.8200,394.4000,1.799619
FILLER_140_526,VPWR,li1,248.1700,394.4000,1.799654
FILLER_140_521,VPWR,li1,245.6400,394.4000,1.799662
FILLER_140_513,VPWR,li1,243.3400,394.4000,1.799672
FILLER_140_501,VPWR,li1,238.7400,394.4000,1.799696
FILLER_140_489,VPWR,li1,233.2200,394.4000,1.799715
FILLER_140_477,VPWR,li1,227.7000,394.4000,1.799738
FILLER_140_475,VPWR,li1,224.2500,394.4000,1.799759
FILLER_140_469,VPWR,li1,222.6400,394.4000,1.799759
FILLER_140_457,VPWR,li1,218.5000,394.4000,1.799777
FILLER_140_445,VPWR,li1,212.9800,394.4000,1.799805
FILLER_140_433,VPWR,li1,207.4600,394.4000,1.799824
FILLER_140_421,VPWR,li1,201.9400,394.4000,1.799851
FILLER_140_419,VPWR,li1,198.4900,394.4000,1.799869
FILLER_140_413,VPWR,li1,196.8800,394.4000,1.799869
FILLER_140_401,VPWR,li1,192.7400,394.4000,1.799886
FILLER_140_389,VPWR,li1,187.2200,394.4000,1.799915
FILLER_140_377,VPWR,li1,181.7000,394.4000,1.799933
FILLER_140_365,VPWR,li1,176.1800,394.4000,1.799960
FILLER_140_363,VPWR,li1,172.7300,394.4000,1.799961
FILLER_140_357,VPWR,li1,171.1200,394.4000,1.799961
FILLER_140_345,VPWR,li1,166.9800,394.4000,1.799962
FILLER_140_333,VPWR,li1,161.4600,394.4000,1.799964
FILLER_140_321,VPWR,li1,155.9400,394.4000,1.799965
FILLER_140_309,VPWR,li1,150.4200,394.4000,1.799966
FILLER_140_307,VPWR,li1,146.9700,394.4000,1.799967
FILLER_140_301,VPWR,li1,145.3600,394.4000,1.799967
FILLER_140_289,VPWR,li1,141.2200,394.4000,1.799968
FILLER_140_277,VPWR,li1,135.7000,394.4000,1.799970
FILLER_140_265,VPWR,li1,130.1800,394.4000,1.799971
FILLER_140_253,VPWR,li1,124.6600,394.4000,1.799972
FILLER_140_251,VPWR,li1,121.2100,394.4000,1.799974
FILLER_140_245,VPWR,li1,119.6000,394.4000,1.799974
FILLER_140_233,VPWR,li1,115.4600,394.4000,1.799975
FILLER_140_221,VPWR,li1,109.9400,394.4000,1.799976
FILLER_140_209,VPWR,li1,104.4200,394.4000,1.799977
FILLER_140_197,VPWR,li1,98.9000,394.4000,1.799979
FILLER_140_195,VPWR,li1,95.4500,394.4000,1.799980
